freq (Hz),Vinp (V)
26.92E6,42.03E6
27.54E6,41.07E6
28.18E6,40.14E6
28.84E6,39.22E6
29.51E6,38.33E6
30.20E6,37.46E6
30.90E6,36.61E6
31.62E6,35.77E6
32.36E6,34.96E6
33.11E6,34.16E6
33.88E6,33.39E6
34.67E6,32.63E6
35.48E6,31.88E6
36.31E6,31.16E6
37.15E6,30.45E6
38.02E6,29.75E6
38.90E6,29.08E6
39.81E6,28.42E6
40.74E6,27.77E6
41.69E6,27.14E6
42.66E6,26.52E6
43.65E6,25.92E6
44.67E6,25.33E6
45.71E6,24.75E6
46.77E6,24.19E6
47.86E6,23.63E6
48.98E6,23.10E6
50.12E6,22.57E6
51.29E6,22.06E6
52.48E6,21.56E6
53.70E6,21.06E6
54.95E6,20.59E6
56.23E6,20.12E6
57.54E6,19.66E6
58.88E6,19.21E6
60.26E6,18.77E6
61.66E6,18.35E6
63.10E6,17.93E6
64.57E6,17.52E6
66.07E6,17.12E6
67.61E6,16.73E6
69.18E6,16.35E6
70.79E6,15.98E6
72.44E6,15.62E6
74.13E6,15.26E6
75.86E6,14.91E6
77.62E6,14.57E6
79.43E6,14.24E6
81.28E6,13.92E6
83.18E6,13.60E6
85.11E6,13.29E6
87.10E6,12.99E6
89.13E6,12.69E6
91.20E6,12.40E6
93.33E6,12.12E6
95.50E6,11.85E6
97.72E6,11.58E6
100.0E6,11.31E6
102.3E6,11.05E6
104.7E6,10.80E6
107.2E6,10.56E6
109.6E6,10.32E6
112.2E6,10.08E6
114.8E6,9.853E6
117.5E6,9.628E6
120.2E6,9.409E6
123.0E6,9.195E6
125.9E6,8.986E6
128.8E6,8.781E6
131.8E6,8.581E6
134.9E6,8.386E6
138.0E6,8.195E6
141.3E6,8.009E6
144.5E6,7.826E6
147.9E6,7.648E6
151.4E6,7.474E6
154.9E6,7.304E6
158.5E6,7.138E6
162.2E6,6.975E6
166.0E6,6.816E6
169.8E6,6.661E6
173.8E6,6.510E6
177.8E6,6.361E6
182.0E6,6.217E6
186.2E6,6.075E6
190.5E6,5.937E6
195.0E6,5.802E6
199.5E6,5.670E6
204.2E6,5.541E6
208.9E6,5.414E6
213.8E6,5.291E6
218.8E6,5.171E6
223.9E6,5.053E6
229.1E6,4.938E6
234.4E6,4.826E6
239.9E6,4.716E6
245.5E6,4.608E6
251.2E6,4.504E6
257.0E6,4.401E6
263.0E6,4.301E6
269.2E6,4.203E6
275.4E6,4.107E6
281.8E6,4.014E6
288.4E6,3.922E6
295.1E6,3.833E6
302.0E6,3.746E6
309.0E6,3.661E6
316.2E6,3.577E6
323.6E6,3.496E6
331.1E6,3.416E6
338.8E6,3.339E6
346.7E6,3.263E6
354.8E6,3.188E6
363.1E6,3.116E6
371.5E6,3.045E6
380.2E6,2.975E6
389.0E6,2.908E6
398.1E6,2.842E6
407.4E6,2.777E6
416.9E6,2.714E6
426.6E6,2.652E6
436.5E6,2.592E6
446.7E6,2.533E6
457.1E6,2.475E6
467.7E6,2.419E6
478.6E6,2.364E6
489.8E6,2.310E6
501.2E6,2.257E6
512.9E6,2.206E6
524.8E6,2.156E6
537.0E6,2.106E6
549.5E6,2.059E6
562.3E6,2.012E6
575.4E6,1.966E6
588.8E6,1.921E6
602.6E6,1.877E6
616.6E6,1.835E6
631.0E6,1.793E6
645.7E6,1.752E6
660.7E6,1.712E6
676.1E6,1.673E6
691.8E6,1.635E6
707.9E6,1.598E6
724.4E6,1.562E6
741.3E6,1.526E6
758.6E6,1.491E6
776.2E6,1.457E6
794.3E6,1.424E6
812.8E6,1.392E6
831.8E6,1.360E6
851.1E6,1.329E6
871.0E6,1.299E6
891.3E6,1.269E6
912.0E6,1.240E6
933.3E6,1.212E6
955.0E6,1.185E6
977.2E6,1.158E6
1.000E9,1.131E6
